# faroe saithe catch data                            year = 1961:2015 ,, ages = 3:14+
# faroe saithe survey data var W  stratified         year = 1994:2015 ,, ages = 3:10
# faroe saithe survey data summar stratified         year = 1996:2015 ,, ages = 3:10
# number of years and ages in catch data	c@a 
55 12
# number of years and ages in survey 1 data	u@a
22 8
# number of years and ages in survey 2 data	u@a
20 8
#  ------------------ catch-at-age ,, c@a --------------------------------------
#  3     4     5     6     7    8    9    10  11  12  13  14+
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.22 0.52 0.79 0.92 0.98 1.00  1  1  1  1  1
 0.03 0.27 0.61 0.91 1.00 1.00 1.00  1  1  1  1  1
 0.04 0.28 0.60 0.88 1.00 1.00 1.00  1  1  1  1  1
 0.05 0.29 0.59 0.85 0.97 0.99 1.00  1  1  1  1  1
 0.05 0.28 0.57 0.82 0.94 0.98 1.00  1  1  1  1  1
 0.05 0.27 0.55 0.79 0.92 0.97 1.00  1  1  1  1  1
 0.05 0.26 0.53 0.77 0.90 0.96 1.00  1  1  1  1  1
 0.04 0.23 0.51 0.76 0.89 0.96 1.00  1  1  1  1  1
 0.03 0.19 0.49 0.75 0.89 0.96 1.00  1  1  1  1  1
 0.03 0.17 0.48 0.75 0.88 0.96 1.00  1  1  1  1  1
 0.02 0.17 0.48 0.75 0.89 0.97 1.00  1  1  1  1  1
 0.02 0.17 0.49 0.77 0.91 0.99 1.00  1  1  1  1  1
 0.01 0.17 0.49 0.78 0.93 1.00 0.99  1  1  1  1  1
 0.01 0.17 0.49 0.78 0.93 1.00 0.99  1  1  1  1  1
 0.01 0.17 0.47 0.75 0.90 1.00 0.99  1  1  1  1  1
 0.01 0.16 0.44 0.70 0.87 0.98 0.99  1  1  1  1  1
 0.02 0.16 0.41 0.64 0.83 0.96 0.99  1  1  1  1  1
 0.02 0.16 0.38 0.60 0.79 0.94 0.98  1  1  1  1  1
 0.02 0.16 0.37 0.58 0.77 0.92 0.98  1  1  1  1  1
 0.01 0.17 0.37 0.56 0.75 0.91 0.98  1  1  1  1  1
 0.01 0.17 0.37 0.56 0.74 0.89 0.98  1  1  1  1  1
 0.01 0.18 0.37 0.56 0.74 0.88 0.97  1  1  1  1  1
 0.01 0.18 0.38 0.57 0.74 0.88 0.97  1  1  1  1  1
 0.00 0.18 0.39 0.59 0.76 0.89 0.97  1  1  1  1  1
 0.00 0.18 0.40 0.62 0.78 0.90 0.97  1  1  1  1  1
 0.00 0.19 0.42 0.64 0.80 0.91 0.97  1  1  1  1  1
 0.01 0.20 0.43 0.66 0.82 0.92 0.97  1  1  1  1  1
 0.01 0.21 0.45 0.68 0.84 0.94 0.97  1  1  1  1  1
 0.02 0.23 0.47 0.71 0.87 0.95 0.97  1  1  1  1  1
 0.03 0.24 0.49 0.72 0.88 0.96 0.98  1  1  1  1  1
 0.03 0.25 0.50 0.73 0.89 0.97 0.98  1  1  1  1  1
 0.04 0.25 0.50 0.74 0.90 0.97 0.98  1  1  1  1  1
 0.04 0.26 0.51 0.74 0.90 0.98 0.98  1  1  1  1  1
 0.05 0.26 0.51 0.74 0.90 0.98 0.98  1  1  1  1  1
# vector of age-based denominators to catch residuals (Chat/Cobs)^2/denom_res <--> 3:14
#   3        4         5         6         7         8         9        10         11       12         13       14+ 
 3.83019 0.76819 0.10780 0.04895 0.10914 0.15043 0.17742 0.11887 0.14041 0.30748 1.51845 1.51845
 3.83019 0.76819 0.10780 0.04895 0.10914 0.15043 0.17742 0.11887 0.14041 0.30748 1.51845 1.51845
